season,date,team,opponent,location,team_score,opp_score,diff
2020,2021-01-06,Duke,Boston College,H,83,82,1
2020,2021-01-09,Duke,Wake Forest,H,79,68,11
2020,2021-01-12,Duke,Virginia Tech,A,67,74,-7
2020,2021-01-19,Duke,Pitt,A,73,79,-6
2020,2021-01-23,Duke,Louisville,A,65,70,-5
2020,2021-01-26,Duke,Georgia Tech,H,75,68,7
2020,2021-01-30,Duke,Clemson,H,79,53,26
2020,2021-02-01,Duke,Miami,A,75,77,-2
2020,2021-02-06,Duke,UNC,H,87,91,-4
2020,2021-02-13,Duke,NC State,A,69,53,16
2020,2021-02-17,Duke,Wake Forest,A,84,60,24
2020,2021-02-20,Duke,UVA,H,66,65,1
2020,2021-02-22,Duke,Syracuse,H,85,71,14
2020,2021-02-27,Duke,Louisville,H,73,80,-7
2020,2021-03-02,Duke,Georgia Tech,A,77,81,-4
2020,2021-03-06,Duke,UNC,A,73,91,-18
2020,2021-03-09,Duke,Boston College,N,86,51,35
2020,2021-03-10,Duke,Louisville,N,70,56,14
2021,2021-12-22,Duke,Virginia Tech,H,76,65,11
2021,2022-01-04,Duke,Georgia Tech,H,69,57,12
2021,2022-01-08,Duke,Miami,H,74,76,-2
2021,2022-01-12,Duke,Wake Forest,A,76,64,12
2021,2022-01-15,Duke,NC State,H,88,73,15
2021,2022-01-18,Duke,Florida State,A,78,79,-1
2021,2022-01-22,Duke,Syracuse,H,79,59,20
2021,2022-01-25,Duke,Clemson,H,71,69,2
2021,2022-01-29,Duke,Louisville,A,74,65,9
2021,2022-02-05,Duke,UNC,A,87,67,20
2021,2022-02-07,Duke,UVA,H,68,69,-1
2021,2022-02-10,Duke,Clemson,A,82,64,18
2021,2022-02-12,Duke,Boston College,A,72,61,11
2021,2022-02-15,Duke,Wake Forest,H,76,74,2
2021,2022-02-19,Duke,Florida State,H,88,70,18
2021,2022-02-23,Duke,UVA,A,65,61,4
2021,2022-02-26,Duke,Syracuse,A,97,72,25
2021,2022-03-01,Duke,Pitt,A,86,56,30
2021,2022-03-05,Duke,UNC,H,81,94,-13
2021,2022-03-10,Duke,Syracuse,N,88,79,9
2021,2022-03-11,Duke,Miami,N,80,76,4
2021,2022-03-12,Duke,Virginia Tech,N,67,82,-15
2021,2022-04-02,Duke,UNC,N,77,81,-4
2022,2022-12-03,Duke,Boston College,H,75,59,16
2022,2022-12-20,Duke,Wake Forest,A,70,81,-11
2022,2022-12-31,Duke,Florida State,H,86,67,19
2022,2023-01-04,Duke,NC State,A,60,84,-24
2022,2023-01-07,Duke,Boston College,A,65,64,1
2022,2023-01-11,Duke,Pitt,H,77,69,8
2022,2023-01-14,Duke,Clemson,A,64,72,-8
2022,2023-01-21,Duke,Miami,H,68,66,2
2022,2023-01-23,Duke,Virginia Tech,A,75,78,-3
2022,2023-01-28,Duke,Georgia Tech,A,86,43,43
2022,2023-01-31,Duke,Wake Forest,H,75,73,2
2022,2023-02-04,Duke,UNC,H,63,57,6
2022,2023-02-06,Duke,Miami,A,59,81,-22
2022,2023-02-11,Duke,UVA,A,62,69,-7
2022,2023-02-18,Duke,Syracuse,A,77,55,22
2022,2023-02-20,Duke,Louisville,H,79,62,17
2022,2023-02-25,Duke,Virginia Tech,H,81,65,16
2022,2023-02-28,Duke,NC State,H,71,67,4
2022,2023-03-04,Duke,UNC,A,62,57,5
2022,2023-03-09,Duke,Pitt,N,96,69,27
2022,2023-03-10,Duke,Miami,N,85,78,7
2022,2023-03-11,Duke,UVA,N,59,49,10
2023,2023-12-02,Duke,Georgia Tech,A,68,72,-4
2023,2024-01-02,Duke,Syracuse,H,86,66,20
2023,2024-01-09,Duke,Pitt,A,75,53,22
2023,2024-01-13,Duke,Georgia Tech,H,84,79,5
2023,2024-01-20,Duke,Pitt,H,76,80,-4
2023,2024-01-23,Duke,Louisville,A,83,69,14
2023,2024-01-27,Duke,Clemson,H,72,71,1
2023,2024-01-29,Duke,Virginia Tech,A,77,67,10
2023,2024-02-03,Duke,UNC,A,84,93,-9
2023,2024-02-10,Duke,Boston College,H,80,65,15
2023,2024-02-12,Duke,Wake Forest,H,77,69,8
2023,2024-02-17,Duke,Florida State,A,76,67,9
2023,2024-02-21,Duke,Miami,A,84,55,29
2023,2024-02-24,Duke,Wake Forest,A,79,83,-4
2023,2024-02-28,Duke,Louisville,H,84,59,25
2023,2024-03-02,Duke,UVA,H,73,48,25
2023,2024-03-04,Duke,NC State,A,79,64,15
2023,2024-03-09,Duke,UNC,H,79,84,-5
2023,2024-03-14,Duke,NC State,N,69,74,-5
2023,2024-03-31,Duke,NC State,N,64,76,-12
2024,2024-12-08,Duke,Louisville,A,76,65,11
2024,2024-12-21,Duke,Georgia Tech,A,82,56,26
2024,2024-12-31,Duke,Virginia Tech,H,88,65,23
2024,2025-01-04,Duke,SMU,A,89,62,27
2024,2025-01-07,Duke,Pitt,H,76,47,29
2024,2025-01-14,Duke,Miami,H,89,54,35
2024,2025-01-18,Duke,Boston College,A,88,63,25
2024,2025-01-25,Duke,Wake Forest,A,63,56,7
2024,2025-01-27,Duke,NC State,H,74,64,10
2024,2025-02-01,Duke,UNC,H,87,70,17
2024,2025-02-05,Duke,Syracuse,A,83,54,29
2024,2025-02-08,Duke,Clemson,A,71,77,-6
2024,2025-02-15,Duke,Stanford,H,106,70,36
2024,2025-02-17,Duke,UVA,A,80,62,18
2024,2025-02-25,Duke,Miami,A,97,60,37
2024,2025-03-01,Duke,Florida State,H,100,65,35
2024,2025-03-03,Duke,Wake Forest,H,93,60,33
2024,2025-03-08,Duke,UNC,A,82,69,13
2024,2025-03-13,Duke,Georgia Tech,N,78,70,8
2024,2025-03-14,Duke,UNC,N,74,71,3
2024,2025-03-15,Duke,Louisville,N,73,62,11
2025,2025-12-31,Duke,Georgia Tech,H,85,79,6
2025,2026-01-03,Duke,Florida State,A,91,87,4
2025,2026-01-06,Duke,Louisville,A,84,73,11
2025,2026-01-10,Duke,SMU,H,82,75,7
2025,2026-01-17,Duke,Stanford,A,80,50,30
2025,2026-01-24,Duke,Wake Forest,H,90,69,21
2025,2026-01-26,Duke,Louisville,H,83,52,31
2025,2026-01-31,Duke,Virginia Tech,A,72,58,14
2025,2026-02-03,Duke,Boston College,H,67,49,18
2020,2020-12-01,UNC,Stanford,N,67,63,4
2020,2020-12-22,UNC,NC State,A,76,79,-3
2020,2020-12-30,UNC,Georgia Tech,A,67,72,-5
2020,2021-01-05,UNC,Miami,A,67,65,2
2020,2021-01-12,UNC,Syracuse,H,81,75,6
2020,2021-01-16,UNC,Florida State,A,75,82,-7
2020,2021-01-20,UNC,Wake Forest,H,80,73,7
2020,2021-01-23,UNC,NC State,H,86,76,10
2020,2021-01-26,UNC,Pitt,A,75,65,10
2020,2021-02-02,UNC,Clemson,A,50,63,-13
2020,2021-02-06,UNC,Duke,A,91,87,4
2020,2021-02-13,UNC,UVA,A,48,60,-12
2020,2021-02-20,UNC,Louisville,H,99,54,45
2020,2021-02-27,UNC,Florida State,H,78,70,8
2020,2021-03-01,UNC,Syracuse,A,70,72,-2
2020,2021-03-06,UNC,Duke,H,91,73,18
2020,2021-03-11,UNC,Virginia Tech,N,81,73,8
2020,2021-03-12,UNC,Florida State,N,66,69,-3
2021,2021-12-05,UNC,Georgia Tech,A,79,62,17
2021,2022-01-02,UNC,Boston College,A,91,65,26
2021,2022-01-08,UNC,UVA,H,74,58,16
2021,2022-01-15,UNC,Georgia Tech,H,88,65,23
2021,2022-01-18,UNC,Miami,A,57,85,-28
2021,2022-01-22,UNC,Wake Forest,A,76,98,-22
2021,2022-01-24,UNC,Virginia Tech,H,78,68,10
2021,2022-01-26,UNC,Boston College,H,58,47,11
2021,2022-01-29,UNC,NC State,H,100,80,20
2021,2022-02-01,UNC,Louisville,A,90,83,7
2021,2022-02-05,UNC,Duke,H,67,87,-20
2021,2022-02-08,UNC,Clemson,A,79,77,2
